Time(s),F69-1-AnoChasing,F69-2-AnoMutual,F69-3-AnoMutual,F69-4-N-N,F69-5-Body,H25-1-Body/Ano,H25-2-N-N,H25-3-N-N,H25-4-N-N,H25-5-N-N,H28-1-N-N,H28-2-N-N,H28-3-Ano,H28-4-Ano/Body,H28-5-N-N,H82-1-AnoMutual,H82-2-N-N/AnoChasing,H82-3-N-N,H82-4-BodyMutual,H82-5-N-N
-9.36,0.135903892,0.12442892,0.120401822,-0.048698571,0.212693717,0.175126349,-0.146659683,0.038076212,0.115109966*,-0.039003491,0.013323,-0.25671,0.091725,-0.08132,-0.02886,-0.23253,0.037665,-0.00672,-0.03687,0.073548
-9.35,0.133717892,0.12285792,0.121051822,-0.045980571,0.211577717,0.173660349,-0.147021683,0.036336212,0.115283966*,-0.039517491,0.013014,-0.25607,0.092101,-0.08198,-0.03029,-0.2328,0.037507,-0.00694,-0.03609,0.07383
-9.34,0.131515892,0.12126892,0.121678822,-0.043269571,0.210421717,0.172165349,-0.147349683,0.034612212,0.115428966*,-0.040040491,0.012716,-0.25541,0.092439,-0.08263,-0.03171,-0.23303,0.037346,-0.00715,-0.0353,0.074116
-9.33,0.129295892,0.11966292,0.122282822,-0.040568571,0.209225717,0.170640349,-0.147641683,0.032907212,0.115543966*,-0.040571491,0.012429,-0.25474,0.09274,-0.08325,-0.03312,-0.23324,0.037182,-0.00735,-0.0345,0.074407
-9.32,0.127059892,0.11804092,0.122861822,-0.037877571,0.207990717,0.169086349,-0.147899683,0.031219212,0.115630966*,-0.041111491,0.012154,-0.25404,0.093005,-0.08386,-0.03453,-0.23342,0.037015,-0.00753,-0.03369,0.074703
-9.31,0.124807892,0.11640092,0.123416822,-0.035196571,0.206715717,0.167503349,-0.148122683,0.029550212,0.115687966*,-0.041659491,0.011889,-0.25333,0.093234,-0.08445,-0.03593,-0.23357,0.036845,-0.00769,-0.03287,0.075004
-9.3,0.122540892,0.11474492,0.123947822,-0.032527571,0.205402717,0.165890349,-0.148311683,0.027898212,0.115715966*,-0.042215491,0.011635,-0.2526,0.093426,-0.08501,-0.03733,-0.23369,0.036672,-0.00785,-0.03205,0.07531
-9.29,0.120257892,0.11307392,0.124452822,-0.029868571,0.204051717,0.164249349,-0.148466683,0.026265212,0.115714966*,-0.042779491,0.011392,-0.25185,0.093582,-0.08556,-0.03871,-0.23378,0.036497,-0.00799,-0.03121,0.07562
-9.28,0.117960892,0.11138692,0.124932822,-0.027223571,0.202662717,0.162578349,-0.148586683,0.024652212,0.115684966*,-0.043351491,0.011159,-0.25109,0.093702,-0.08609,-0.04009,-0.23384,0.036318,-0.00811,-0.03037,0.075935
-9.27,0.115649892,0.10968492,0.125387822,-0.024589571,0.201236717,0.160879349,-0.148673683,0.023057212,0.115624966*,-0.043931491,0.010937,-0.25031,0.093787,-0.08661,-0.04146,-0.23387,0.036137,-0.00822,-0.02951,0.076255
-9.26,0.113323892,0.10796892,0.125815822,-0.021970571,0.199772717,0.159150349,-0.148726683,0.021481212,0.115536966*,-0.044518491,0.010725,-0.24951,0.093836,-0.0871,-0.04282,-0.23387,0.035953,-0.00832,-0.02865,0.07658
-9.25,0.110985892,0.10623792,0.126217822,-0.019364571,0.198272717,0.157392349,-0.148745683,0.019924212,0.115418966*,-0.045113491,0.010524,-0.24869,0.093849,-0.08757,-0.04417,-0.23384,0.035767,-0.00841,-0.02779,0.076909
-9.24,0.108633892,0.10449392,0.126592822,-0.016772571,0.196736717,0.155606349,-0.148732683,0.018388212,0.115271966*,-0.045715491,0.010333,-0.24785,0.093827,-0.08802,-0.04551,-0.23379,0.035578,-0.00847,-0.02691,0.077243
